marca,estabelecimento
mcdonalds,MCDONALDS
mcdonalds,MEQUI
mcdonalds,MC DONALDS  ARL          
mcdonalds,MC DONALDS  BST          
mcdonalds,MC DONALDS PLO           
mcdonalds,MC DONALDS GNB           
mcdonalds,MC DONALDS -UN3      3922
mcdonalds,PG *LOGGI*MCDONALDS MAR  
mcdonalds,MC DONALDS  DOW          
mcdonalds,MC DONALDS  BATEL        
mcdonalds,MC DONALDS VMS           
mcdonalds,MC DONALDS ASN           
mcdonalds,MC DONALDS ALPHASHOPP    
mcdonalds,MC DONALDS-STB           
mcdonalds,MC DONALDS NPN           
mcdonalds,MC DONALDS MUT           
mcdonalds,MC DONALDS BNH           
mcdonalds,MC DONALDS XPD           
mcdonalds,MC DONALDS BAL           
mcdonalds,MC DONALDS FSJ           
mcdonalds,MC DONALDS JKN           
mcdonalds,MC DONALDS  CAT          
mcdonalds,MC DONALDS PSA           
mcdonalds,MC DONALDS SCN           
mcdonalds,MC DONALDS ASP           
mcdonalds,MC DONALDS LAC           
mcdonalds,MC DONALDS CBV           
mcdonalds,MC DONALDS AMC           
mcdonalds,MC DONALDS SPL           
mcdonalds,MC DONALDS BAN           
mcdonalds,MC DONALDS SCO           
mcdonalds,MCDONALDS PUR            
mcdonalds,MC DONALDS SCP           
mcdonalds,MC DONALDS PSC           
mcdonalds,MC DONALDS  PKS          
mcdonalds,MC DONALDS DJN           
mcdonalds,MC DONALDS PLT           
mcdonalds,MC DONALDS  LMA          
mcdonalds,MC DONALDS COT           
mcdonalds,MC DONALDS GNG           
mcdonalds,MercPag*MCDONALDSMP      
mcdonalds,MCDONALDS JGS            
mcdonalds,MC DONALDS-SHOP.D        
mcdonalds,MC DONALDS B4S           
mcdonalds,MC DONALDS ASS           
mcdonalds,MC DONALDS BNM           
mcdonalds,MC DONALDS SPN           
mcdonalds,MC DONALDS GTV           
mcdonalds,MC DONALDS SJA           
mcdonalds,MC DONALDS  ALE          
mcdonalds,MC DONALDS SCR           
mcdonalds,MC DONALDS  ARS          
mcdonalds,MC DONALDS JKS           
mcdonalds,MC DONALDS SPP           
mcdonalds,MC DONALDS HOR           
mcdonalds,MC DONALDS  XUX          
mcdonalds,MC DONALDS  SBR          
mcdonalds,MC DONALDS  MAP          
mcdonalds,MC DONALDS PSG           
mcdonalds,MC DONALDS MON           
mcdonalds,MC DONALDS-PJC           
mcdonalds,MC DONALDS ASV           
mcdonalds,MC DONALDS  SIC          
mcdonalds,MC DONALDS MOO           
mcdonalds,MC DONALDS SPR           
mcdonalds,MC DONALDS  FLC          
mcdonalds,MC DONALDS  LSU          
mcdonalds,MC DONALDS SCV           
mcdonalds,MC DONALDS RBN           
mcdonalds,MC DONALDS SPS           
mcdonalds,MC DONALDS PSI           
mcdonalds,MC DONALDS-MFL           
mcdonalds,MCDONALDS SLU            
mcdonalds,MC DONALDS AV FCO MTO    
mcdonalds,MC DONALDS  JDI          
mcdonalds,MC DONALDS  CUI          
mcdonalds,MC DONALDS  ICA          
mcdonalds,MC DONALDS AMK           
mcdonalds,MC DONALDS BNS           
mcdonalds,MC DONALDS MBT           
mcdonalds,MC DONALDS ROM           
mcdonalds,MC DONALDS MID           
mcdonalds,MC DONALDS SCX           
mcdonalds,MC DONALDS  RAO          
mcdonalds,MC DONALDS  SIG          
mcdonalds,MC DONALDS SPV           
mcdonalds,MC DONALDS MOS           
mcdonalds,MC DONALDS  RB1          
mcdonalds,MC DONALDS ORD           
mcdonalds,MC DONALDS  NIL          
mcdonalds,MC DONALDS  MUA          
mcdonalds,MCDONALDS EZ2        7166
mcdonalds,MC DONALDS SHP STA MAR   
mcdonalds,XFER- MC DONALDS  OSC    
mcdonalds,MC DONALDS  VMA          
mcdonalds,MC DONALDS CIP           
mcdonalds,MC DONALDS JLLE GARTEN   
mcdonalds,MC DONALDS PSM           
mcdonalds,MC DONALDS CCB           
mcdonalds,MC DONALDS  ALM          
mcdonalds,MC DONALDS  NIM          
mcdonalds,MC DONALDS CCC           
mcdonalds,MC DONALDS MIG           
mcdonalds,MC DONALDS AGA           
mcdonalds,MC DONALDS  FRW          
mcdonalds,MC DONALDS PG2           
mcdonalds,MCDONALDS SFL            
mcdonalds,MC DONALDS AMO           
mcdonalds,MCDONALDS 921   2402827  
mcdonalds,MCDONALDS RESTAURANT     
mcdonalds,MCDONALDS S3A            
mcdonalds,MC DONALDS  RB4          
mcdonalds,MERCPAGO    *MCDONALDS   
mcdonalds,MC DONALDS  MAX          
mcdonalds,MCDONALDS 11013          
